variant,epoch,case_position,step,case,patch_count,mean_patch_loss,gradient_norm,update_delta_norm,learning_rate,weight_decay,optimizer_updates,base_trainable_parameters,lora_trainable_parameters
B_source_hard_pseudo,1,1,1,CYST_PA69.nii.gz,60,0.024266459109882513,0.28412139415740967,0.03765867277979851,0.0001,0.0,1,0,589824
B_source_hard_pseudo,1,2,2,CYST_PA37.nii.gz,16,0.021580498694675043,0.07016722857952118,0.04091709479689598,0.0001,0.0,1,0,589824
B_source_hard_pseudo,1,3,3,CYST_PA53.nii.gz,2,0.012266193982213736,0.037438251078128815,0.03567463532090187,0.0001,0.0,1,0,589824
B_source_hard_pseudo,1,4,4,HEM_PA24.nii.gz,16,0.017595026511116885,0.06672242283821106,0.036834366619586945,0.0001,0.0,1,0,589824
B_source_hard_pseudo,1,5,5,CYST_PA74.nii.gz,20,0.017040328346411115,0.06805618107318878,0.03815537691116333,0.0001,0.0,1,0,589824
B_source_hard_pseudo,1,6,6,FNH_PA32.nii.gz,3,0.019080025764803093,0.13210232555866241,0.03585619851946831,0.0001,0.0,1,0,589824
B_source_hard_pseudo,1,7,7,HCC_10074592_20130816.nii.gz,15,0.025662198988720776,0.20848996937274933,0.03561564162373543,0.0001,0.0,1,0,589824
B_source_hard_pseudo,1,8,8,HCC_10142924_20170911.nii.gz,15,0.02093586794411143,0.13032659888267517,0.037383370101451874,0.0001,0.0,1,0,589824
B_source_hard_pseudo,1,9,9,ICC_PA18.nii.gz,20,0.02257763668894768,0.14451964199543,0.03780851885676384,0.0001,0.0,1,0,589824
B_source_hard_pseudo,1,10,10,HCC_10081574_20140213.nii.gz,12,0.021557210401321452,0.17677895724773407,0.038513388484716415,0.0001,0.0,1,0,589824
B_source_hard_pseudo,1,11,11,FNH_PA10.nii.gz,20,0.014679685863666237,0.09658177942037582,0.03813224285840988,0.0001,0.0,1,0,589824
B_source_hard_pseudo,1,12,12,HEM_PA66.nii.gz,3,0.010939498121539751,0.08915377408266068,0.036646753549575806,0.0001,0.0,1,0,589824
B_source_hard_pseudo,1,13,13,CYST_PA54.nii.gz,2,0.012453481089323759,0.11604387313127518,0.03619296848773956,0.0001,0.0,1,0,589824
B_source_hard_pseudo,1,14,14,CYST_PA56.nii.gz,20,0.009861970151632704,0.05405091121792793,0.03440307825803757,0.0001,0.0,1,0,589824
B_source_hard_pseudo,1,15,15,HCC_10140276_20170721.nii.gz,15,0.011120574707941462,0.057812776416540146,0.033332355320453644,0.0001,0.0,1,0,589824
